x-axis,F1
Hertz,dBV
+27.40000E+03,-99.05640E+00
+27.45000E+03,-101.86401E+00
+27.50000E+03,-97.17407E+00
+27.55000E+03,-97.66235E+00
+27.60000E+03,-100.65796E+00
+27.65000E+03,-108.12378E+00
+27.70000E+03,-103.61206E+00
+27.75000E+03,-111.24878E+00
+27.80000E+03,-98.77808E+00
+27.85000E+03,-98.42407E+00
+27.90000E+03,-113.70483E+00
+27.95000E+03,-113.56079E+00
+28.00000E+03,-104.67163E+00
+28.05000E+03,-106.91040E+00
+28.10000E+03,-98.43872E+00
+28.15000E+03,-94.97192E+00
+28.20000E+03,-104.15894E+00
+28.25000E+03,-98.36304E+00
+28.30000E+03,-101.57104E+00
+28.35000E+03,-100.78491E+00
+28.40000E+03,-95.54810E+00
+28.45000E+03,-94.67651E+00
+28.50000E+03,-109.82788E+00
+28.55000E+03,-98.44849E+00
+28.60000E+03,-100.10376E+00
+28.65000E+03,-102.53784E+00
+28.70000E+03,-97.18628E+00
+28.75000E+03,-105.15015E+00
+28.80000E+03,-97.49390E+00
+28.85000E+03,-104.06128E+00
+28.90000E+03,-110.05737E+00
+28.95000E+03,-105.62378E+00
+29.00000E+03,-98.68530E+00
+29.05000E+03,-75.11353E+00
+29.10000E+03,-99.69849E+00
+29.15000E+03,-103.82690E+00
+29.20000E+03,-100.20142E+00
+29.25000E+03,-98.89771E+00
+29.30000E+03,-100.83618E+00
+29.35000E+03,-112.14478E+00
+29.40000E+03,-119.94995E+00
+29.45000E+03,-95.18921E+00
+29.50000E+03,-102.48901E+00
+29.55000E+03,-101.06079E+00
+29.60000E+03,-109.56177E+00
+29.65000E+03,-103.26538E+00
+29.70000E+03,-105.14526E+00
+29.75000E+03,-105.38208E+00
+29.80000E+03,-98.49976E+00
+29.85000E+03,-108.07007E+00
+29.90000E+03,-104.11743E+00
+29.95000E+03,-109.06860E+00
+30.00000E+03,-98.80981E+00
+30.05000E+03,-97.48413E+00
+30.10000E+03,-99.41040E+00
+30.15000E+03,-107.87964E+00
+30.20000E+03,-101.64917E+00
+30.25000E+03,-108.67065E+00
+30.30000E+03,-106.87866E+00
+30.35000E+03,-99.77905E+00
+30.40000E+03,-103.91968E+00
+30.45000E+03,-89.71558E+00
+30.50000E+03,-99.89380E+00
+30.55000E+03,-99.77661E+00
+30.60000E+03,-97.97485E+00
+30.65000E+03,-104.46655E+00
+30.70000E+03,-109.05396E+00
+30.75000E+03,-106.11206E+00
+30.80000E+03,-107.56958E+00
+30.85000E+03,-108.73901E+00
+30.90000E+03,-106.38062E+00
+30.95000E+03,-98.70239E+00
+31.00000E+03,-101.60522E+00
+31.05000E+03,-70.05737E+00
+31.10000E+03,-101.31714E+00
+31.15000E+03,-107.09106E+00
+31.20000E+03,-115.64819E+00
+31.25000E+03,-102.20825E+00
+31.30000E+03,-99.54956E+00
+31.35000E+03,-97.95532E+00
